Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
11,0.44445777656855406,[0.50588205 0.92420172 0.70703851 0.54096473 0.5388187  0.749374  ],0.6610466210275061,[0.66910647 0.96021725 0.82357624 0.69354946 0.67549043 0.8538005 ],0.779290059581399,1.4719889603163068,[0.28037436 0.8487426  0.38139236 0.16004877 0.06827401 0.57403976],0.38547864372549956,[0.42830234 0.9159488  0.52059818 0.26426571 0.11941402 0.71508522],0.49393571056619595
12,0.4378056443399853,[0.51038005 0.92969027 0.6978412  0.52689531 0.55073557 0.74679604],0.660389738967987,[0.67334918 0.96329776 0.81569241 0.68102004 0.68945606 0.85195762],0.7791288428893889,0.6323797506721396,[0.43628511 0.91126724 0.58447751 0.29882034 0.33187212 0.61718102],0.5299838882859771,[0.59981203 0.9530368  0.7213492  0.44208163 0.45026582 0.75010283],0.6527747198125692
13,0.4066143885806755,[0.53051056 0.93800661 0.72864979 0.55241364 0.55317918 0.75417429],0.6761556774159364,[0.6906419  0.96785874 0.83875391 0.70481301 0.68654439 0.85709532],0.7909512121322346,0.5000329319583742,[0.45105611 0.91709347 0.62309283 0.49423107 0.40830239 0.70954132],0.6005528651039002,[0.61271653 0.9561863  0.74801007 0.64713422 0.53898076 0.82336152],0.7210649008568573
14,0.38105423748493195,[0.54701018 0.94547807 0.74680157 0.56883899 0.61473933 0.77161528],0.6990805712390552,[0.70495967 0.9717924  0.85179105 0.71795432 0.74107462 0.86882333],0.8093992304286838,0.562074847127262,[0.46526214 0.89092221 0.54911966 0.43141197 0.40334486 0.67714921],0.5695350093995794,[0.62884474 0.9414861  0.68710157 0.58845132 0.51220735 0.79941119],0.6929170448136958
15,0.37431769100604234,[0.55241766 0.94365587 0.75298959 0.57562666 0.58969174 0.7800629 ],0.6990740687965795,[0.70905816 0.97088629 0.85473112 0.72249391 0.71634316 0.87400786],0.8079200826447318,0.5963443933348906,[0.48159422 0.89633341 0.61845139 0.37662913 0.40220587 0.6550498 ],0.5717106369674296,[0.64285198 0.9441818  0.74607603 0.52691801 0.5024165  0.78054214],0.6904977444220303
16,0.35182820577864293,[0.56901762 0.94188486 0.77276344 0.58824966 0.64343482 0.79976862],0.7191865040610234,[0.72259764 0.96985436 0.86870465 0.73304204 0.76405176 0.88722806],0.8242464189498144,0.5086271409925661,[0.47977284 0.90733363 0.64122657 0.501805   0.40549129 0.69117138],0.6044667863341825,[0.64190935 0.95091557 0.76242833 0.6542755  0.54373162 0.80862329],0.7269806104017845
17,0.3494759317901399,[0.56872222 0.9463419  0.76503096 0.58817075 0.63223602 0.80180493],0.7170511277990393,[0.7227058  0.97230114 0.86404186 0.73283804 0.75844617 0.88858169],0.823152452086409,0.7419330916906658,[0.42610903 0.87201319 0.38326354 0.38893806 0.41023221 0.62165715],0.5170355295295737,[0.59095757 0.93030638 0.51650167 0.54708818 0.53713435 0.75785256],0.6466401173067361
18,0.349322833534744,[0.57442899 0.94631851 0.76538546 0.58605776 0.64692775 0.79628422],0.7192337825250479,[0.72718819 0.97229262 0.8641174  0.7290244  0.76923189 0.88504018],0.8244824469273473,0.5155254265195445,[0.49028565 0.92880669 0.60741668 0.49578945 0.29672154 0.71491897],0.5889898285121282,[0.6510258  0.96284154 0.73714343 0.65151809 0.39468075 0.82713177],0.7040568968166139
19,0.3105245043558103,[0.60532068 0.95828197 0.79865237 0.6125719  0.66829412 0.80793445],0.741842581557087,[0.75230545 0.97865148 0.8862236  0.75292479 0.78795761 0.89192525],0.841664695583376,0.5064179489487096,[0.49162498 0.93639707 0.66119594 0.50840239 0.45718977 0.68690543],0.6236192635531056,[0.65471295 0.96686275 0.78012323 0.65937218 0.58211022 0.80934421],0.7420875901041319
20,0.295084316973333,[0.61908669 0.95878787 0.80732362 0.63842999 0.69559559 0.82592719],0.7575251595059663,[0.76264791 0.97888916 0.89170049 0.7737009  0.80596467 0.90376702],0.8527783585459362,0.5957978995222795,[0.48938643 0.92743882 0.64703319 0.27471453 0.4992203  0.6901001 ],0.587982227937972,[0.65114007 0.96193112 0.76977319 0.41325162 0.62806003 0.809048  ],0.7055340070898334
