Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
14,0.48000826828701554,[0.4799574  0.93225504 0.66027516 0.478606   0.44278542 0.72771137],0.6202650659018997,[0.64344335 0.96449691 0.77687696 0.62833184 0.56630243 0.83434882],0.7356333848598734,0.7000903036249312,[0.42751971 0.88464185 0.38803845 0.28757731 0.3396031  0.58616056],0.485590162528209,[0.58832302 0.93669442 0.48889106 0.41529532 0.44566816 0.71121911],0.5976818463024215
15,0.4569789977960808,[0.49226636 0.9372648  0.66443942 0.50625    0.47061953 0.745372  ],0.636035351588954,[0.6544304  0.96721817 0.78184982 0.65652722 0.59815295 0.84809995],0.7510464174075544,0.567800239316727,[0.46977411 0.91950626 0.56028653 0.26099106 0.28557806 0.65601078],0.5253577992114898,[0.62893973 0.95659361 0.6718205  0.36546002 0.36715015 0.76523538],0.6258665644875198
16,0.4516838046007378,[0.49638429 0.94021476 0.6640235  0.5034059  0.4626185  0.74179425],0.6347401999323377,[0.6588737  0.96887802 0.78103132 0.65117689 0.58666784 0.84498054],0.748601385911515,0.5993425214761182,[0.4405523  0.91130531 0.43719726 0.37451522 0.36915633 0.65552373],0.5313750249810446,[0.59713727 0.95222427 0.53874603 0.50097901 0.48841074 0.77064429],0.6413569339655575
17,0.4217786305865576,[0.51466143 0.94609121 0.68716485 0.51959683 0.51457898 0.75449778],0.6560985152864248,[0.67531012 0.97201035 0.80181964 0.66894326 0.64254716 0.85458053],0.7692018452509037,0.5141918276877779,[0.49091841 0.92137794 0.54286424 0.33147797 0.38924106 0.69578799],0.5619446028063785,[0.64987549 0.95764371 0.65289615 0.44370389 0.50026408 0.79827817],0.6671102497469595
18,0.4123232540696166,[0.51906085 0.9417569  0.70820647 0.53455723 0.51314884 0.77052066],0.664541822894433,[0.67878514 0.9693259  0.81703458 0.6816002  0.63705433 0.86638394],0.7750306807064935,0.5342624469807273,[0.46965629 0.91416159 0.55377546 0.35853434 0.28976904 0.66657553],0.542078706062009,[0.62749613 0.95346226 0.66716838 0.47305198 0.38203738 0.77647922],0.6466158926833534
19,0.40122984363589176,[0.52784626 0.94425218 0.7161181  0.54241712 0.48730522 0.77035756],0.6647160726628274,[0.68684761 0.97101286 0.8225827  0.68757835 0.60853649 0.86554624],0.7736840416110561,0.5299749184203776,[0.46663311 0.91848862 0.53574881 0.36683616 0.35553043 0.64927674],0.5487523123372006,[0.6250327  0.95579414 0.64017279 0.50321395 0.47054792 0.76387472],0.6597727037111135
20,0.38262997858746106,[0.53993103 0.95088659 0.73127712 0.53638137 0.51657234 0.7811883 ],0.6760394570206981,[0.69710887 0.97460269 0.83434783 0.67842557 0.63810806 0.87246116],0.7825090287566182,0.543487308056731,[0.47899623 0.92970817 0.55582687 0.39901817 0.35413483 0.65913482],0.5628031804241657,[0.63480651 0.96278031 0.66324915 0.53140309 0.46466937 0.76891232],0.6709701244774471
21,0.3683431232391402,[0.55877351 0.95521769 0.73201466 0.56533144 0.53280074 0.77863924],0.6871295475691345,[0.71252799 0.97690863 0.83317889 0.70879415 0.65344907 0.86922351],0.7923470394391217,0.5546633042395115,[0.46344791 0.92158869 0.55720324 0.24525507 0.35715052 0.65857469],0.5338700194700148,[0.62186103 0.95770831 0.66743433 0.35301044 0.45568247 0.76838265],0.6373465386050317
22,0.35478300334409224,[0.56228413 0.95040907 0.743164   0.56341536 0.56333433 0.80088759],0.6972490818589897,[0.7163115  0.9743438  0.84323159 0.70362195 0.68504602 0.88590291],0.801409628765672,0.48292506858706474,[0.48859093 0.92894491 0.58092617 0.39047283 0.4428417  0.69340789],0.5875307409291405,[0.64645297 0.9619184  0.68179088 0.51348393 0.55981684 0.79809635],0.6935932286381884
23,0.38291427402995354,[0.54282021 0.94588024 0.70961704 0.5711513  0.54922063 0.78734837],0.6843396304227148,[0.69862373 0.97184079 0.81309847 0.71221233 0.67244889 0.87737164],0.7909326404530751,0.5215237970022779,[0.49262464 0.93022793 0.55087695 0.34096577 0.41958105 0.66671868],0.566832502683259,[0.65120829 0.96293255 0.65527656 0.454584   0.53747581 0.77505093],0.6727546908968769
24,0.3119585803081823,[0.59810949 0.96110258 0.7742876  0.5920243  0.60358638 0.82695494],0.7260108795426715,[0.7451635  0.98003852 0.86624444 0.72936111 0.71892864 0.90345526],0.8238652463136025,0.47516063875273656,[0.49571264 0.93271618 0.58924242 0.41026332 0.46012017 0.69912797],0.5978637833401687,[0.65228351 0.96424239 0.68887488 0.53197083 0.58069753 0.80125525],0.7032207335433398
25,0.2835989409407904,[0.62819777 0.96457283 0.78817966 0.60979643 0.64639678 0.84203833],0.7465303001048174,[0.76847853 0.98186813 0.87415281 0.74239995 0.75876661 0.91289272],0.8397597897501821,0.5758475376979301,[0.47133491 0.91940629 0.55245324 0.28508806 0.38306394 0.66673746],0.5463473158498553,[0.63143295 0.95637844 0.66330328 0.39868627 0.48527637 0.77662792],0.651950872233883
26,0.28516761002152463,[0.62533648 0.95880588 0.78652909 0.62012379 0.6346682  0.83537557],0.7434731681802303,[0.76616717 0.97879193 0.87301732 0.75212804 0.74586267 0.9080044 ],0.8373285875352489,0.5135357219137644,[0.49427486 0.92578877 0.57491189 0.42161557 0.4527148  0.6856803 ],0.5924976993859704,[0.65192526 0.95999811 0.67647392 0.54544301 0.5653392  0.79040095],0.6982634090481472
27,0.27760730940242145,[0.6342527  0.96307575 0.7894501  0.62842984 0.6008881  0.84705282],0.743858218129522,[0.77292805 0.98108457 0.87541115 0.75693207 0.71450706 0.91548423],0.8360578555353851,0.5536690230824446,[0.47787741 0.91091014 0.57937536 0.38161163 0.43463365 0.66874654],0.5755257892898251,[0.63766838 0.95126894 0.68362904 0.50737881 0.54379417 0.77807163],0.6836351604086527
28,0.27650809239509494,[0.64005611 0.96366289 0.78989825 0.62005738 0.60602242 0.84607473],0.7442952957173516,[0.77745571 0.98140909 0.8744204  0.74632718 0.71694291 0.91517738],0.8352887789990442,0.5547325864042106,[0.48455128 0.93176393 0.54187763 0.42287498 0.47270962 0.66778467],0.5869270199164339,[0.6413424  0.96359715 0.64901132 0.54661758 0.58116958 0.77602913],0.6929611929727048
29,0.3376736113498377,[0.60147806 0.95442032 0.74404107 0.60518187 0.53713506 0.81550315],0.7096265895014211,[0.74514861 0.97641139 0.83983615 0.73814595 0.64839557 0.89375253],0.8069483658248312,0.601189315907265,[0.45623324 0.91803621 0.51743712 0.37310834 0.32610985 0.66377064],0.5424492346064652,[0.61456501 0.95590369 0.61867555 0.50136412 0.42701338 0.77318633],0.648451348608528
30,0.2736147670551788,[0.6413955  0.96165649 0.77978625 0.64372112 0.60586904 0.84641215],0.7464734268508303,[0.7785169  0.98033244 0.86911716 0.76916704 0.72012266 0.915257  ],0.8387522012637856,0.9556175168407591,[0.42175851 0.90082667 0.47542461 0.33061249 0.45346364 0.61145706],0.5322571636612625,[0.58056504 0.94548208 0.58285915 0.45649826 0.56918319 0.72899263],0.6439300588221829
