Epoch,Train_Loss,Train_IoU_per_Class,Train_Mean_IoU,Train_F1_per_Class,Train_Mean_F1,Val_Loss,Val_IoU_per_Class,Val_Mean_IoU,Val_F1_per_Class,Val_Mean_F1
11,0.24558792911566696,[0.67197508 0.96770527 0.82499083 0.65906322 0.6874034  0.85561215],0.7777916574770045,[0.79918585 0.98345203 0.90168951 0.78930796 0.79836118 0.9200479 ],0.8653407374566252,0.2771274757881959,[0.65063759 0.95935599 0.77729305 0.6125239  0.64311168 0.86062872],0.7505918214511541,[0.77964839 0.97880336 0.86282108 0.7417536  0.75474294 0.91963152],0.8395668139438266
12,0.24167258132781302,[0.67853899 0.9694072  0.82529968 0.65905067 0.71363973 0.85688993],0.783804368364798,[0.80404043 0.98434575 0.90179845 0.78859326 0.81893403 0.91991572],0.8696046068476214,0.28287027257940045,[0.63206034 0.96284491 0.78544204 0.58768588 0.59888408 0.83950465],0.7344036514067724,[0.7631697  0.98071534 0.86729143 0.72407911 0.7161346  0.90719205],0.8264303713865974
13,0.2247892182030074,[0.69041122 0.97266998 0.83168486 0.67655286 0.71195563 0.86640011],0.7916124449101442,[0.81292119 0.98607426 0.90381406 0.80263868 0.81600401 0.92650076],0.8746588265208842,0.2497470926331437,[0.6688564  0.97262894 0.78424067 0.62246006 0.69240026 0.86989505],0.7684135635108978,[0.79104781 0.98592503 0.86581984 0.74861269 0.79292308 0.92678561],0.8518523438901142
14,0.2063802673009696,[0.70471109 0.97559749 0.85288043 0.68151616 0.73673043 0.87474021],0.8043626350256438,[0.8236207  0.98760378 0.91916895 0.80517539 0.8356648  0.9313223 ],0.883759319059575,0.2183075824185558,[0.6911871  0.97140627 0.82511287 0.66463675 0.70555827 0.87029006],0.7880318862012619,[0.80858502 0.9852127  0.89322667 0.7875014  0.80500941 0.92541834],0.8674922566680948
15,0.1947033196300655,[0.72026314 0.97734853 0.85923158 0.70066132 0.74481979 0.88231498],0.8141065568953462,[0.83408683 0.98850479 0.92288227 0.82008146 0.84145203 0.93613367],0.8905235062236394,0.2584107703380827,[0.67642977 0.96137699 0.80443324 0.64604244 0.6192132  0.83770583],0.7575335793083551,[0.79738371 0.97991935 0.88001759 0.76971552 0.72518655 0.90288714],0.842518310499004
16,0.21091254408676902,[0.70046585 0.9696108  0.84672002 0.68454303 0.74142478 0.8809245 ],0.8039481628633777,[0.82053994 0.98445726 0.91516647 0.80821149 0.83818143 0.93553568],0.8836820457549965,0.3412998010390911,[0.59915688 0.94767814 0.76371834 0.55740959 0.54789762 0.7725691 ],0.6980716122352577,[0.7390884  0.97260252 0.85406036 0.7000155  0.67054442 0.86112486],0.799572675826325
17,0.20728043053154047,[0.71080894 0.97486683 0.85065115 0.68138325 0.75140184 0.87267373],0.8069642894816669,[0.82790175 0.98722396 0.9175195  0.80558865 0.84882598 0.93016656],0.8862043998538803,0.25287323690734914,[0.66626165 0.96355491 0.81016284 0.60733828 0.6879778  0.86074325],0.7660064558287102,[0.78791888 0.98096186 0.8824057  0.73338727 0.78860505 0.91977566],0.8488424026321817
18,0.18725338394378688,[0.72851269 0.97678018 0.86233672 0.70979227 0.76312779 0.88861417],0.8215273028618587,[0.83995833 0.98820305 0.92463406 0.8265562  0.85798835 0.93982605],0.8961943397580674,0.21364000671799632,[0.70044877 0.9725768  0.83008441 0.66290216 0.70709354 0.87828457],0.7918983767627951,[0.81603839 0.98586613 0.89756767 0.78521961 0.80456144 0.93194977],0.8702004995143068
19,0.17380166854467485,[0.74378514 0.9798504  0.872799   0.72066442 0.78482605 0.89752409],0.8332415160993154,[0.85082806 0.98979279 0.92917826 0.83469105 0.872867   0.94522269],0.9037633063150691,0.21345949618388776,[0.70543053 0.97310306 0.83328957 0.65002203 0.70852501 0.87527508],0.7909408808969286,[0.81894878 0.98614435 0.899333   0.77414662 0.80643357 0.92965612],0.8691104064619052
20,0.1635853372901291,[0.75665258 0.98134048 0.88435791 0.72934481 0.79596108 0.90041692],0.8413456299088219,[0.85950696 0.99056205 0.93792609 0.84048231 0.88156713 0.94669709],0.9094569381826368,0.2289803739151229,[0.69398133 0.9743878  0.81501174 0.67531192 0.71726932 0.88053978],0.7927503142649858,[0.81084858 0.98683921 0.88807702 0.7955158  0.81386368 0.93301125],0.8713592551648617
